country,year,sex,age_group,suicides,pop_age_group,suicides_rate,HDI for year, gdp_for_year,gdp_per_capita,unemployment_rate,terciary_rate
Belgium,2014,female,25-54,274,2264682,12.09882889,0.89,5.30771E+11,50173,7,72.9974
Belgium,2014,male,25-54,699,2304819,30.3277611,0.89,5.30771E+11,50173,8.2,72.9974
Belgium,2015,female,15-24,21,649587,3.23,,4.5504E+11,42830,20,74.55976
Belgium,2015,male,15-24,93,671971,13.84,,4.5504E+11,42830,23.8,74.55976
Belgium,2015,female,25-54,266,2261084,11.76426882,,4.5504E+11,42830,7.1,74.55976
Belgium,2015,male,25-54,690,2296602,30.04438732,,4.5504E+11,42830,8.2,74.55976
Brazil,2005,female,15-24,405,17659079,2.29,0.702,8.9163E+11,5230,24.8,25.98963
Brazil,2005,male,15-24,1247,18077858,6.9,0.702,8.9163E+11,5230,15.2,25.98963
Brazil,2005,female,25-54,1033,39134852,2.63959092,0.702,8.9163E+11,5230,9,25.98963
Brazil,2005,male,25-54,3954,37606457,10.51415186,0.702,8.9163E+11,5230,4.6,25.98963
Brazil,2011,female,15-24,413,17180849,2.4,0.742,2.6162E+12,14245,19.8,43.45983
Brazil,2011,male,15-24,1335,17674787,7.55,0.742,2.6162E+12,14245,12.1,43.45983
Brazil,2011,female,25-54,1205,43742024,2.754787936,0.742,2.6162E+12,14245,7.1,43.45983
Brazil,2011,male,25-54,4661,42224756,11.0385481,0.742,2.6162E+12,14245,3.3,43.45983
Brazil,2012,female,15-24,383,17145894,2.23,0.746,2.46519E+12,13283,19.3,44.96641
Brazil,2012,male,15-24,1313,17644319,7.44,0.746,2.46519E+12,13283,13.4,44.96641
Brazil,2012,female,25-54,1332,44378013,3.001486344,0.746,2.46519E+12,13283,7.1,44.96641
Brazil,2012,male,25-54,4815,42882606,11.2283288,0.746,2.46519E+12,13283,4.4,44.96641
Brazil,2013,female,15-24,362,17123318,2.11,0.752,2.47281E+12,13191,20.2,46.81655
